1955,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.37%,0.00%,0.37%,0.00%,0.00%,-0.37%
1956,0.00%,0.00%,0.00%,0.37%,0.37%,0.74%,0.74%,-0.36%,0.37%,0.36%,0.00%,0.36%
1957,0.00%,0.36%,0.36%,0.36%,0.36%,0.36%,0.71%,0.00%,0.00%,0.00%,0.35%,0.00%
1958,0.70%,0.00%,0.70%,0.35%,0.00%,0.00%,0.35%,-0.34%,0.00%,0.00%,0.35%,-0.34%
1959,0.35%,-0.34%,0.00%,0.35%,0.00%,0.34%,0.34%,0.00%,0.34%,0.34%,0.00%,0.00%
1960,-0.34%,0.34%,0.00%,0.34%,0.00%,0.34%,0.00%,0.00%,0.00%,0.68%,0.00%,0.00%
1961,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.67%,-0.33%,0.33%,0.00%,0.00%,0.00%
1962,0.00%,0.33%,0.00%,0.33%,0.00%,0.00%,0.33%,0.00%,0.33%,0.00%,0.00%,0.00%
1963,0.00%,0.00%,0.33%,0.00%,0.00%,0.33%,0.33%,0.00%,0.00%,0.33%,0.00%,0.32%
1964,0.00%,0.00%,0.00%,0.00%,0.00%,0.32%,0.32%,-0.32%,0.32%,0.00%,0.32%,0.00%
1965,0.00%,0.00%,0.32%,0.32%,0.00%,0.64%,0.00%,0.00%,0.00%,0.32%,0.00%,0.32%
1966,0.00%,0.63%,0.31%,0.62%,0.00%,0.31%,0.31%,0.62%,0.00%,0.61%,0.00%,0.00%
1967,0.00%,0.00%,0.30%,0.30%,0.30%,0.30%,0.30%,0.30%,0.30%,0.30%,0.30%,0.30%
1968,0.59%,0.29%,0.29%,0.29%,0.29%,0.58%,0.58%,0.29%,0.29%,0.57%,0.28%,0.28%
1969,0.28%,0.56%,0.84%,0.55%,0.28%,0.55%,0.55%,0.54%,0.27%,0.54%,0.54%,0.53%
1970,0.27%,0.53%,0.53%,0.79%,0.26%,0.52%,0.52%,0.00%,0.51%,0.51%,0.51%,0.51%
1971,0.00%,0.25%,0.25%,0.25%,0.50%,0.74%,0.25%,0.25%,0.00%,0.25%,0.00%,0.49%
1972,0.00%,0.49%,0.24%,0.24%,0.24%,0.24%,0.48%,0.24%,0.24%,0.48%,0.24%,0.24%
1973,0.24%,0.70%,0.93%,0.69%,0.69%,0.68%,0.23%,1.81%,0.22%,0.88%,0.66%,0.65%
1974,0.87%,1.29%,1.27%,0.42%,1.25%,0.82%,0.82%,1.21%,1.20%,0.99%,0.78%,0.78%
1975,0.39%,0.77%,0.38%,0.38%,0.57%,0.75%,1.12%,0.18%,0.55%,0.55%,0.73%,0.36%
1976,0.18%,0.36%,0.18%,0.36%,0.71%,0.53%,0.53%,0.53%,0.35%,0.52%,0.17%,0.34%
1977,0.52%,1.03%,0.68%,0.84%,0.50%,0.66%,0.49%,0.33%,0.33%,0.33%,0.49%,0.32%
1978,0.64%,0.64%,0.79%,0.79%,0.94%,1.09%,0.77%,0.46%,0.76%,0.90%,0.45%,0.45%
1979,0.89%,1.17%,1.01%,1.15%,1.27%,1.12%,1.11%,0.96%,1.08%,0.80%,0.93%,1.05%
1980,1.43%,1.41%,1.52%,1.12%,0.99%,1.10%,0.00%,0.73%,0.84%,0.95%,0.83%,0.94%
1981,0.81%,1.03%,0.68%,0.68%,0.79%,0.89%,1.10%,0.76%,0.98%,0.21%,0.32%,0.32%
1982,0.32%,0.32%,-0.11%,0.42%,0.95%,1.25%,0.52%,0.21%,0.20%,0.31%,-0.20%,-0.41%
1983,0.20%,0.10%,0.00%,0.72%,0.61%,0.30%,0.40%,0.30%,0.50%,0.30%,0.20%,0.10%
1984,0.59%,0.49%,0.20%,0.49%,0.29%,0.29%,0.39%,0.38%,0.48%,0.29%,0.00%,0.00%
1985,0.19%,0.47%,0.38%,0.47%,0.37%,0.28%,0.19%,0.19%,0.28%,0.37%,0.28%,0.28%
1986,0.27%,-0.27%,-0.46%,-0.18%,0.28%,0.55%,0.00%,0.18%,0.46%,0.09%,0.09%,0.09%
