Soybeans - Monthly Price,,
Month,Price,Change
Mar-08,495.69,-2.47%
Apr-08,482.79,-2.60%
May-08,489.09,1.30%
Jun-08,552.47,12.96%
Jul-08,554.15,0.30%
Aug-08,471.07,-14.99%
Sep-08,437.84,-7.05%
Oct-08,338.78,-22.62%
Nov-08,329.14,-2.85%
Dec-08,318.81,-3.14%
Jan-09,364.72,14.40%
Feb-09,341.27,-6.43%
Mar-09,333.66,-2.23%
Apr-09,374.47,12.23%
May-09,422.28,12.77%
Jun-09,445.15,5.42%
Jul-09,398.16,-10.56%
Aug-09,408.96,2.71%
Sep-09,349.05,-14.65%
Oct-09,354.86,1.66%
Nov-09,370.71,4.47%
Dec-09,379.3,2.32%
Jan-10,358.97,-5.36%
Feb-10,344.66,-3.99%
Mar-10,348.95,1.24%
Apr-10,357.65,2.49%
May-10,349.06,-2.40%
Jun-10,348.51,-0.16%
Jul-10,370.98,6.45%
Aug-10,379.46,2.29%
Sep-10,390.23,2.84%
Oct-10,427.18,9.47%
Nov-10,459.96,7.67%
Dec-10,483.76,5.17%
Jan-11,511.1,5.65%
Feb-11,512.05,0.19%
Mar-11,498.74,-2.60%
Apr-11,501.47,0.55%
May-11,498.77,-0.54%
Jun-11,499.77,0.20%
Jul-11,501.83,0.41%
Aug-11,501.42,-0.08%
Sep-11,490.91,-2.10%
Oct-11,446.02,-9.14%
Nov-11,428.83,-3.85%
Dec-11,420.05,-2.05%
Jan-12,441.73,5.16%
Feb-12,461.56,4.49%
Mar-12,496.29,7.52%
Apr-12,529.42,6.68%
May-12,520.93,-1.60%
Jun-12,522.33,0.27%
Jul-12,609.45,16.68%
Aug-12,622.91,2.21%
Sep-12,615.18,-1.24%
Oct-12,565.53,-8.07%
Nov-12,533.03,-5.75%
Dec-12,534.79,0.33%
Jan-13,526.05,-1.63%
Feb-13,536.38,1.96%
Mar-13,536.08,-0.06%
Apr-13,517.79,-3.41%
May-13,542.2,4.71%
Jun-13,560.16,3.31%
Jul-13,548.35,-2.11%
Aug-13,498.05,-9.17%
Sep-13,503.24,1.04%
Oct-13,472.83,-6.04%
Nov-13,476.66,0.81%
Dec-13,488.67,2.52%
Jan-14,476.1,-2.57%
Feb-14,496.8,4.35%
Mar-14,522,5.07%
Apr-14,547.19,4.83%
May-14,546.03,-0.21%
Jun-14,528,-3.30%
Jul-14,463.23,-12.27%
Aug-14,432.99,-6.53%
Sep-14,368.85,-14.81%
Oct-14,354.44,-3.91%
Nov-14,379.34,7.03%
Dec-14,378.78,-0.15%
Jan-15,367.49,-2.98%
Feb-15,364.74,-0.75%
Mar-15,359.6,-1.41%
Apr-15,356.93,-0.74%
May-15,351.95,-1.40%
Jun-15,354.82,0.82%
Jul-15,372.35,4.94%
Aug-15,347.02,-6.80%
Sep-15,323.55,-6.76%
Oct-15,327.42,1.20%
