,State,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
32,AZ,1995,1.93285714286,1.95142857143,2.04857142857,2.21714285714,2.63285714286,3.05428571429,-0.664285714286,-0.937142857143,-0.944285714286,-1.54714285714,-1.84714285714,-2.34
33,AZ,1996,-2.91428571429,-3.06142857143,-3.46857142857,-4.03428571429,-4.58,-4.87857142857,-4.64142857143,-4.81142857143,-3.89714285714,-3.74571428571,-3.55285714286,-3.87285714286
34,AZ,1997,-3.15,-2.95142857143,-3.50714285714,-3.33285714286,-3.45714285714,-3.50428571429,-3.92571428571,-2.62857142857,-0.638571428571,-0.81,-1.02857142857,0.312857142857
35,AZ,1998,-0.0914285714286,1.83714285714,2.31714285714,2.62142857143,3.20571428571,3.69142857143,3.95142857143,1.66285714286,1.76142857143,0.995714285714,0.891428571429,-0.785714285714
36,AZ,1999,-1.54714285714,-2.08428571429,-2.74428571429,-1.77857142857,-2.22571428571,-2.49142857143,0.0757142857143,-0.14,0.291428571429,-1.22714285714,-1.93142857143,-2.46142857143
37,AZ,2000,-3.07571428571,-3.45428571429,-3.03857142857,-3.51,-4.15714285714,-4.00142857143,-4.77428571429,-4.14857142857,-4.61285714286,0.692857142857,0.83,0.132857142857
38,AZ,2001,0.571428571429,0.658571428571,0.664285714286,0.744285714286,0.572857142857,0.227142857143,-0.524285714286,-0.99,-1.64142857143,-1.95571428571,-2.31,-2.31285714286
39,AZ,2002,-2.76,-3.34428571429,-3.73571428571,-4.31428571429,-4.77857142857,-5.23714285714,-5.33142857143,-5.87857142857,-4.98571428571,-4.62428571429,-4.39857142857,-4.24714285714
40,AZ,2003,-4.65428571429,-3.36,-2.94428571429,-2.74571428571,-2.81285714286,-2.98571428571,-3.28714285714,-3.26714285714,-3.12714285714,-3.52285714286,-2.96571428571,-3.07
41,AZ,2004,-3.16428571429,-2.87,-3.26571428571,-2.73857142857,-3.18285714286,-3.50142857143,-3.72571428571,-3.88,-0.768571428571,1.28142857143,1.95428571429,2.21
42,AZ,2005,3.17142857143,4.65,4.27428571429,4.38142857143,4.98285714286,4.52285714286,0.582857142857,0.8,-0.91,-0.718571428571,-1.44,-2.06428571429
43,AZ,2006,-2.72285714286,-3.44142857143,-3.11857142857,-3.30857142857,-3.97428571429,-4.24857142857,-3.61,-3.42857142857,-2.86857142857,-2.43,-2.89142857143,-3.14285714286
44,AZ,2007,-3.12285714286,-3.34142857143,-3.57571428571,-3.90142857143,-4.28428571429,-4.62714285714,-3.92428571429,-4.00285714286,-3.81857142857,-4.06571428571,-4.04857142857,-1.87857142857
45,AZ,2008,-0.965714285714,-0.682857142857,-1.18285714286,-1.48714285714,-0.994285714286,-0.868571428571,-0.132857142857,-0.0428571428571,-1.23285714286,-1.68142857143,-1.55,-0.792857142857
46,AZ,2009,-1.30571428571,-1.20714285714,-1.81571428571,-2.02142857143,-1.89857142857,-1.97428571429,-2.38142857143,-3.24571428571,-3.32285714286,-3.52571428571,-3.82,-2.38428571429
47,AZ,2010,1.08142857143,1.41428571429,1.48714285714,1.45428571429,1.61571428571,1.78857142857,0.281428571429,-0.611428571429,-1.14,-0.367142857143,-0.778571428571,-0.571428571429
48,CA,1995,2.98,1.97571428571,4.12285714286,4.26714285714,4.68285714286,5.19857142857,5.54142857143,4.56142857143,3.21857142857,2.19,1.04714285714,1.27857142857
49,CA,1996,1.34285714286,1.85428571429,1.44571428571,1.25857142857,1.75428571429,1.56285714286,1.49857142857,1.09142857143,0.774285714286,1.38428571429,1.51428571429,2.64142857143
50,CA,1997,3.62571428571,0.0142857142857,-1.02714285714,-1.45428571429,-2.11857142857,-2.20285714286,-2.16714285714,-2.05428571429,-0.52,-0.674285714286,0.74,0.57
51,CA,1998,1.43571428571,3.79571428571,3.80857142857,3.83,5.16428571429,5.73857142857,6.38285714286,5.98428571429,4.79857142857,1.60571428571,1.84428571429,0.271428571429
52,CA,1999,-0.01,0.222857142857,-0.452857142857,-0.517142857143,-0.79,-0.837142857143,-0.722857142857,-0.655714285714,-0.9,-1.40428571429,-1.62571428571,-2.48142857143
53,CA,2000,-1.14857142857,0.345714285714,-0.678571428571,-0.721428571429,-0.577142857143,-0.55,-0.747142857143,-0.688571428571,-0.688571428571,0.0157142857143,-1.19857142857,-2.06571428571
54,CA,2001,-1.82857142857,-1.38857142857,-1.61,-1.26857142857,-1.52714285714,-1.73571428571,-1.99428571429,-2.14428571429,-2.15857142857,-2.40285714286,-1.58285714286,-1.15
55,CA,2002,-1.77571428571,-2.33714285714,-2.54857142857,-2.80142857143,-2.91428571429,-3.12571428571,-3.32857142857,-3.43142857143,-3.45571428571,-3.71142857143,-1.90285714286,-0.698571428571
56,CA,2003,-1.75714285714,-1.17,-1.23428571429,0.407142857143,0.335714285714,0.158571428571,0.0942857142857,-0.01,-0.92,-1.58428571429,-1.00571428571,-0.22
57,CA,2004,-1.07571428571,-0.18,-1.48,-1.98285714286,-2.37,-2.78142857143,-3.10571428571,-3.08714285714,-3.11428571429,1.41857142857,1.18428571429,1.68
58,CA,2005,2.31285714286,2.44571428571,2.71285714286,2.65571428571,3.71,4.06428571429,4.35428571429,3.92285714286,3.43714285714,3.03857142857,0.958571428571,1.59714285714
59,CA,2006,1.52857142857,1.05142857143,2.07857142857,2.92714285714,0.922857142857,0.755714285714,-0.424285714286,-1.26857142857,-1.53857142857,-1.72571428571,-1.91285714286,-2.11571428571
60,CA,2007,-2.93428571429,-2.73714285714,-3.55571428571,-3.64285714286,-4.10428571429,-4.44857142857,-4.58571428571,-4.48428571429,-3.97714285714,-3.52,-3.86428571429,-3.67428571429
61,CA,2008,-2.26714285714,-2.21428571429,-2.86571428571,-3.19285714286,-3.17142857143,-3.36285714286,-3.50857142857,-3.54,-3.65142857143,-3.69428571429,-3.43142857143,-3.22142857143
62,CA,2009,-3.82857142857,-2.71714285714,-2.22285714286,-2.57857142857,-1.89714285714,-1.66571428571,-1.63428571429,-1.97714285714,-2.18142857143,-0.47,-1.11285714286,-0.144285714286
63,CA,2010,0.871428571429,0.875714285714,0.49,1.41714285714,1.69428571429,1.82,1.82285714286,1.55714285714,1.11857142857,2.05285714286,1.51428571429,2.76285714286
64,CO,1995,0.958,0.852,1.092,1.896,3.594,4.728,5.026,4.664,4.72,1.526,1.044,0.548
65,CO,1996,0.908,0.802,0.41,-0.012,-0.23,-0.268,0.306,0.396,1.42,0.688,0.762,0.698
66,CO,1997,1.068,1.25,0.306,0.928,0.672,1.444,1.556,2.602,2.852,3.456,3.546,3.398
67,CO,1998,2.724,2.736,2.776,2.684,1.114,0.83,2.292,2.042,1.024,1.922,1.894,1.358
68,CO,1999,1.218,0.746,-0.104,2.128,2.472,2.672,2.774,4.048,3.928,0.568,-1.198,-1.4
69,CO,2000,-1.396,-1.468,-0.398,-0.754,-1.706,-2.176,-2.592,-2.712,-2.684,-0.94,-1.102,-1.288
70,CO,2001,-1.034,-0.9,-0.846,-1.018,-0.622,-1.024,-0.826,-1.11,-1.484,-1.848,-1.812,-2.076
71,CO,2002,-2.314,-2.726,-3.13,-4.016,-4.994,-5.836,-6.806,-6.8,-5.852,-4.908,-4.624,-4.604
72,CO,2003,-4.784,-4.338,-3.634,-3.518,-3.496,-2.808,-3.456,-3.538,-3.264,-3.786,-3.398,-3.284
73,CO,2004,-3.136,-2.666,-3.446,-1.836,-3.022,-1.732,-1.368,-1.328,0.38,0.428,0.854,0.634
74,CO,2005,1.192,1.13,0.944,0.964,-0.244,0.078,-0.86,-0.544,-0.86,0.896,-0.464,-0.618
75,CO,2006,-0.792,-1.188,-1.18,-1.958,-2.94,-3.744,-1.37,-0.92,0.508,1.46,1.126,1.78
76,CO,2007,1.888,1.39,0.322,0.56,0.518,0.272,-0.278,-0.058,0.218,-0.204,-0.87,0.804
77,CO,2008,0.936,1.176,-0.51,-0.752,-1.018,-1.496,-1.928,0.202,-0.082,0.058,-0.62,0.42
78,CO,2009,0.058,-0.2,-0.628,0.44,0.21,0.958,0.856,0.426,1.048,2.012,1.474,1.462
79,CO,2010,1.216,1.552,1.758,1.298,0.828,0.618,1.026,1.28,-0.268,-0.32,-0.516,-0.366
80,CT,1995,-0.07,-0.386666666667,-1.06,-1.41,-1.48666666667,-2.12,-2.37666666667,-2.93333333333,-2.80333333333,1.39666666667,1.66,1.0
81,CT,1996,1.89,1.47,0.98,1.93333333333,1.62333333333,1.16,2.24333333333,1.60333333333,2.11,3.20333333333,2.94666666667,3.69
82,CT,1997,2.17666666667,-0.556666666667,-0.483333333333,-0.28,-0.366666666667,-0.956666666667,-0.606666666667,0.03,-0.913333333333,-1.42666666667,0.533333333333,0.24
83,CT,1998,0.54,0.7,1.10333333333,1.05,1.33333333333,2.36666666667,0.41,-0.646666666667,-1.04666666667,-0.356666666667,-1.11333333333,-1.94
84,CT,1999,0.333333333333,0.486666666667,0.853333333333,-1.21666666667,-1.04333333333,-2.0,-2.75333333333,-3.12333333333,1.68333333333,1.94,0.213333333333,-0.196666666667
85,CT,2000,-0.266666666667,-0.526666666667,-0.68,0.0,0.383333333333,1.20666666667,2.23,1.29,1.32,-0.676666666667,-0.76,-0.58
86,CT,2001,-0.93,-1.1,1.25,-0.96,-0.91,0.223333333333,-0.43,-0.623333333333,-0.583333333333,-1.34666666667,-2.5,-3.08333333333
