,Year,Month,Corn_Price,CP_Change,Inflation,AK_P,AL_P,AR_P,AS_P,AZ_P,CA_P,CO_P,CT_P,DE_P,FL_P,FM_P,GA_P,GU_P,HI_P,IA_P,ID_P,IL_P,IN_P,KS_P,KY_P,LA_P,MA_P,MD_P,ME_P,MH_P,MI_P,MN_P,MO_P,MP_P,MS_P,MT_P,NC_P,ND_P,NE_P,NH_P,NJ_P,NM_P,NV_P,NY_P,OH_P,OK_P,OR_P,PA_P,PR_P,PW_P,RI_P,SC_P,SD_P,TN_P,TX_P,UM_P,UT_P,VA_P,VI_P,VT_P,WA_P,WI_P,WV_P,WY_P,1_P,2_P,3_P,4_P,5_P,6_P,7_P,8_P,9_P,10_P,AK_T,AL_T,AR_T,AS_T,AZ_T,CA_T,CO_T,CT_T,DE_T,FL_T,FM_T,GA_T,GU_T,HI_T,IA_T,ID_T,IL_T,IN_T,KS_T,KY_T,LA_T,MA_T,MD_T,ME_T,MH_T,MI_T,MN_T,MO_T,MP_T,MS_T,MT_T,NC_T,ND_T,NE_T,NH_T,NJ_T,NM_T,NV_T,NY_T,OH_T,OK_T,OR_T,PA_T,PR_T,PW_T,RI_T,SC_T,SD_T,TN_T,TX_T,UM_T,UT_T,VA_T,VI_T,VT_T,WA_T,WI_T,WV_T,WY_T,1_T,2_T,3_T,4_T,5_T,6_T,7_T,8_T,9_T,10_T,Wheat_Price,WP_%_Change,Sorghum_Price,SP_Change
0,1991,Jan,105.51,3.08,0.6,7.12339130435,12.0653174603,12.8284172662,45.315,6.00189655172,35.0209677419,1.80931192661,10.0721212121,8.6375,8.29401709402,19.6516666667,11.7198550725,6.812,8.43803921569,2.17446428571,5.95577586207,8.01857142857,7.37705479452,2.54784982935,12.1269852941,16.1643636364,9.78077922078,9.54933333333,10.7972727273,17.8616666667,5.95533834586,1.576625,8.15916201117,7.3075,12.8133333333,1.53050847458,15.1001257862,1.22204379562,1.22695833333,9.0586,8.54111111111,2.22513661202,5.50514851485,7.84740932642,9.52838709677,5.10733668342,20.7195287958,8.70551546392,6.26615384615,39.515,8.6,14.2287096774,0.941527777778,13.5645098039,5.14575320513,1.545,4.67987878788,13.3048818898,5.48846153846,7.75488372093,13.978343949,2.23063157895,12.32,1.61839694656,1.22204379562,2.54784982935,1.53050847458,13.978343949,5.10733668342,1.80931192661,5.95577586207,0.941527777778,1.22695833333,5.14575320513,-12.4452597403,8.54206896552,6.30504950495,28.25,6.1278125,8.17512893983,-2.29688679245,0.0313043478261,3.88111111111,15.7560583942,27.14,8.68535714286,26.2,19.2481632653,-6.02423357664,-1.90897058824,-1.63415584416,-0.0779411764706,0.70949044586,3.54689189189,10.9263218391,-0.184745762712,3.548125,-6.18890625,27.1,-3.97,-9.73794871795,0.674794520548,25.0,8.64534090909,-6.05194690265,5.84920289855,-11.9691803279,-3.6260625,-3.836,2.20733333333,1.78893491124,1.33385964912,-1.60473684211,0.190080645161,4.85936,3.16005319149,0.605407407407,23.6567741935,25.95,1.1775,8.00188235294,-6.79611111111,5.05452991453,9.80793981481,25.97,-0.892147239264,3.83726415094,22.578,-4.38351351351,2.16782051282,-6.624125,1.79404494382,-5.12801526718,-11.9691803279,0.70949044586,-6.05194690265,2.16782051282,4.85936,-2.29688679245,-1.90897058824,-6.79611111111,-3.6260625,9.80793981481,111.33,-1.63,105.07,4.06
1,1991,Feb,106.29,0.74,0.15,6.13756521739,15.3657936508,5.07568345324,52.98,3.9124137931,3.44191066998,2.14701834862,7.27545454545,5.5825,4.91213675214,19.9711111111,15.9277536232,2.62,9.69656862745,0.837857142857,3.00594827586,2.60665178571,3.06150684932,0.851262798635,7.87147058824,8.31357575758,7.04922077922,4.95422222222,6.85896103896,13.705,2.56819548872,1.057625,3.61709497207,3.785,9.59682170543,1.21927966102,12.1458490566,0.916131386861,0.884666666667,6.4084,6.07018518519,1.20010928962,1.06643564356,5.54559585492,3.32283870968,1.26653266332,8.1242408377,5.02025773196,12.4212307692,34.26,8.0925,13.2432258065,1.15701388889,7.1112745098,2.92424679487,1.01,2.31533333333,5.5174015748,6.61769230769,5.63790697674,11.37,0.893473684211,6.65085106383,1.53259541985,0.916131386861,0.851262798635,1.21927966102,11.37,1.26653266332,2.14701834862,3.00594827586,1.15701388889,0.884666666667,2.92424679487,-8.36753246753,9.60022988506,8.18326732673,28.35,9.59775,10.6832951289,1.23358490566,-0.691739130435,2.83333333333,16.1875912409,26.8583333333,9.33955357143,26.3,19.4679591837,-0.214233576642,1.24198529412,2.16279220779,1.67450980392,5.38121019108,4.53756756757,12.1196551724,-0.966101694915,2.76895833333,-5.83390625,27.175,-2.72445255474,-4.54128205128,4.62363013699,24.25,9.78488636364,-0.752566371681,5.9097826087,-4.3687704918,2.3779375,-4.209,1.00955555556,5.48343195266,5.72456140351,-2.78888157895,0.762258064516,8.08976,5.91122340426,-0.186148148148,23.7264516129,26.1,0.51,8.22623529412,-0.584305555556,6.10247863248,11.9119212963,26.325,3.53386503067,3.73698113208,23.354,-5.12054054054,5.14474358974,-3.014875,2.21314606742,-1.56534351145,-4.3687704918,5.38121019108,-0.752566371681,5.14474358974,8.08976,1.23358490566,1.24198529412,-0.584305555556,2.3779375,11.9119212963,113.91,2.32,106.37,1.24
2,1991,Mar,109.05,2.6,0.15,5.7892173913,13.6592063492,8.47201438849,37.635,3.57672413793,25.5461538462,4.01247706422,5.87666666667,5.9175,8.09811965812,19.5822222222,8.27108695652,3.986,8.02019607843,6.33226190476,7.0925,6.10107142857,6.6254109589,5.79894197952,7.75477941176,23.626969697,6.02584415584,4.67133333333,6.79987012987,14.66,4.19406015038,6.2083125,5.09502793296,0.84,18.9465116279,3.12427966102,8.4572327044,3.65635036496,5.19704166667,6.5524,4.89888888889,1.78672131148,5.28900990099,4.27238341969,4.73703225806,7.93206030151,12.8531937173,4.42896907216,6.51876923077,27.655,6.11875,5.63559139785,4.98875,10.2899019608,7.21581730769,1.955,6.41145454545,5.92149606299,2.27384615385,5.70069767442,11.5404458599,5.43905263158,5.84031914894,2.47541984733,3.65635036496,5.79894197952,3.12427966102,11.5404458599,7.93206030151,4.01247706422,7.0925,4.98875,5.19704166667,7.21581730769,-6.56324675325,13.4075862069,11.3065346535,28.5,10.9530625,10.4600286533,2.18235849057,3.83913043478,8.02666666667,18.2545985401,26.9583333333,13.3692857143,26.45,20.303877551,2.27065693431,2.52941176471,6.21571428571,6.3781372549,5.78133757962,9.49081081081,14.5650574713,3.15728813559,8.06916666667,-0.95578125,27.475,1.4503649635,-1.28833333333,7.68342465753,25.465,13.3997727273,-0.407831858407,10.6315217391,-4.44237704918,2.0359375,0.96475,6.22311111111,6.71171597633,5.25921052632,2.87184210526,6.00588709677,9.23184,5.96585106383,5.30911111111,23.6848387097,26.375,4.03,12.6697647059,-1.08548611111,10.8905982906,13.2039351852,26.125,4.13625766871,8.73452830189,22.794,0.763783783784,6.51967948718,0.6889375,7.19348314607,-0.494198473282,-4.44237704918,5.78133757962,-0.407831858407,6.51967948718,9.23184,2.18235849057,2.52941176471,-1.08548611111,2.0359375,13.2039351852,119.42,4.84,109.9,3.32
3,1991,Apr,110.23,1.08,0.15,5.22060869565,12.7336507937,15.5544604317,36.215,1.54701149425,6.4994292804,5.93926605505,6.90939393939,5.65875,9.29452991453,22.8083333333,5.44507246377,8.34,12.5353921569,12.4735119048,4.3499137931,11.3547767857,11.4728767123,7.41539249147,9.53463235294,21.9588484848,5.83818181818,6.04,5.58038961039,50.935,8.32240601504,6.214625,12.9834078212,5.725,18.426744186,3.98915254237,2.91754716981,2.49642335766,8.11191666667,4.92,4.74407407407,1.8412568306,2.5001980198,5.81621761658,9.28070967742,11.3947236181,10.7468062827,6.24932989691,6.26723076923,7.18,7.71625,3.08741935484,8.75479166667,8.95147058824,7.77064102564,4.25,4.21454545455,4.27118110236,1.82153846154,5.43604651163,7.23898089172,7.95026315789,6.02925531915,4.12,2.49642335766,7.41539249147,3.98915254237,7.23898089172,11.3947236181,5.93926605505,4.3499137931,8.75479166667,8.11191666667,7.77064102564,2.54967532468,17.367816092,15.6376237624,28.05,13.1710625,12.2401719198,5.13754716981,8.17913043478,12.3488888889,21.4526277372,27.1633333333,17.5525892857,26.6,20.7481632653,8.61861313869,6.38183823529,10.8014285714,10.8684313725,11.1066242038,13.7727027027,18.2304597701,7.34813559322,12.5954166667,4.2684375,27.725,5.35145985401,5.05980769231,12.6146575342,26.085,17.3031818182,5.26154867257,15.1070289855,4.75131147541,7.4773125,5.1975,10.2111111111,9.39887573964,8.01070175439,6.50513157895,9.77693548387,14.0044,7.88026595745,8.93659259259,24.9119354839,26.8,8.28875,17.4792941176,5.17430555556,14.9839316239,17.4758796296,26.675,7.30558282209,13.0735849057,24.63,4.61189189189,8.70628205128,5.6371875,11.2241573034,4.18099236641,4.75131147541,11.1066242038,5.26154867257,8.70628205128,14.0044,5.13754716981,6.38183823529,5.17430555556,7.4773125,17.4758796296,120.89,1.23,109.02,-0.8
4,1991,May,105.74,-4.07,0.3,7.54686956522,8.34341269841,13.0025899281,35.945,0.788908045977,4.21280397022,10.3631651376,7.93848484848,10.56,7.97717948718,30.4138888889,6.66028985507,14.212,7.48411764706,15.2813095238,6.08155172414,22.1311607143,18.4151369863,24.332662116,23.2371323529,18.2587878788,6.99298701299,11.43,9.7325974026,21.5533333333,6.90082706767,8.112,24.7741340782,10.695,13.9592248062,6.57266949153,10.323081761,8.13467153285,17.822125,7.5978,9.13185185185,3.60759562842,5.83257425743,5.58321243523,15.302,18.445678392,5.0309947644,9.75701030928,23.2415384615,34.92,8.1575,7.35849462366,13.9601388889,16.3951960784,13.2123878205,5.325,8.22763636364,12.5837007874,8.92307692308,5.8623255814,3.46949044586,9.30473684211,15.639787234,9.62,8.13467153285,24.332662116,6.57266949153,3.46949044586,18.445678392,10.3631651376,6.08155172414,13.9601388889,17.822125,13.2123878205,7.72818181818,22.526091954,21.0355445545,28.05,17.44875,14.4990830946,9.87094339623,14.3586956522,17.6022222222,25.3327007299,27.59,22.7861607143,26.95,21.5555102041,15.6603649635,11.0393382353,17.2452597403,17.1392156863,16.3303821656,18.9387837838,23.9729885057,13.8377966102,17.8016666667,11.89234375,28.225,13.5272262774,13.5321794872,18.0647945205,26.625,22.5440909091,10.4611946903,19.6284782609,12.1302459016,13.2044375,12.74075,16.0282222222,14.8820118343,11.5637719298,14.0659210526,16.4296774194,19.51632,12.4728723404,15.576,25.9093548387,27.05,14.12,22.3816470588,12.3272916667,19.9197435897,23.2621064815,27.11,11.3551533742,17.9305660377,26.17,13.0286486486,14.0371153846,13.7948125,16.5311235955,8.67427480916,12.1302459016,16.3303821656,10.4611946903,14.0371153846,19.51632,9.87094339623,11.0393382353,12.3272916667,13.2044375,23.2621064815,122.04,0.95,101.99,-6.45
5,1991,Jun,105.11,-0.6,0.29,6.37904347826,8.97698412698,9.41100719424,21.815,0.211954022989,2.65791563275,7.19756880734,4.04545454545,6.56625,24.0092307692,26.3161111111,14.9522463768,14.768,5.56862745098,9.50702380952,6.89896551724,9.10919642857,10.2068493151,12.840443686,10.9577941176,6.49466666667,6.50402597403,10.0251111111,6.09363636364,32.2066666667,5.88398496241,6.50475,13.544301676,13.61,7.94899224806,8.92622881356,23.8486163522,5.73437956204,7.12858333333,3.9674,5.53074074074,3.25633879781,3.42574257426,4.86129533679,10.8702580645,16.8932160804,6.54717277487,9.19618556701,10.7869230769,36.865,7.335,20.16,8.40805555556,11.3673529412,8.33599358974,2.635,4.17636363636,19.6026771654,6.89384615385,3.36651162791,4.67063694268,5.48026315789,13.6965957447,6.73763358779,5.73437956204,12.840443686,8.92622881356,4.67063694268,16.8932160804,7.19756880734,6.89896551724,8.40805555556,7.12858333333,8.33599358974,11.7887662338,25.548045977,25.2724752475,28.55,22.94475,18.7301719198,15.1691037736,19.4560869565,21.8888888889,27.0632846715,27.2366666667,24.8851785714,27.25,22.6887755102,20.4251094891,14.1313235294,22.3983766234,22.0878431373,21.9200636943,23.0221621622,27.272183908,19.0642372881,21.8129166667,17.59828125,27.875,19.1450364964,19.0651282051,22.7155479452,27.1,26.0763636364,14.6337610619,22.5942753623,17.8595081967,18.9039375,18.55675,20.5362222222,19.7535502959,16.4698245614,19.3120394737,21.2200806452,24.55384,14.960106383,20.0108148148,26.5151612903,26.875,18.88625,24.6235294118,17.3591666667,23.4415384615,26.8779398148,28.5,16.0826993865,21.5708490566,27.086,18.9921621622,16.091025641,19.430375,20.678988764,13.6392366412,17.8595081967,21.9200636943,14.6337610619,16.091025641,24.55384,15.1691037736,14.1313235294,17.3591666667,18.9039375,26.8779398148,120.15,-1.55,98.0,-3.91
6,1991,Jul,105.73,0.59,0.15,8.65695652174,9.63119047619,10.2577697842,27.355,1.73965517241,0.318138957816,4.36940366972,8.56484848485,8.85375,19.6709401709,24.4783333333,8.3352173913,20.934,10.3901960784,8.90595238095,2.94474137931,7.63397321429,7.23363013699,8.45976109215,7.95073529412,14.8951515152,7.78441558442,7.96733333333,9.77818181818,27.0716666667,8.64390977444,13.46675,9.78988826816,17.2225,13.4685271318,6.08673728814,10.7611949686,11.8302919708,5.44783333333,11.3616,11.7883333333,3.41530054645,0.616336633663,10.1020725389,8.66916129032,8.32849246231,2.4197382199,9.25293814433,14.4550769231,29.3,4.39875,11.1059139785,7.87604166667,9.92764705882,5.96084935897,1.205,1.84460606061,9.0642519685,11.6984615385,11.8325581395,3.08356687898,8.96226315789,7.7085106383,3.24709923664,11.8302919708,8.45976109215,6.08673728814,3.08356687898,8.32849246231,4.36940366972,2.94474137931,7.87604166667,5.44783333333,5.96084935897,13.5263636364,27.9336781609,27.7615841584,27.9,28.02975,22.6220630372,20.5067924528,22.3095652174,25.0166666667,28.1941605839,27.355,27.6283035714,27.0,23.2059183673,23.5542335766,20.1004411765,24.5706493506,23.6806862745,26.7822292994,25.3672972973,28.5055172414,21.9315254237,24.764375,19.86296875,27.7,20.5490510949,20.6852564103,25.9643150685,26.6,27.9047727273,19.4461946903,25.3408695652,20.281557377,24.5308125,20.724,23.428,23.6085207101,22.8636842105,21.2173026316,22.9306451613,28.40408,19.8128723404,22.0928148148,26.5758064516,26.9,21.925,27.3289411765,22.5099305556,25.9843589744,29.2235185185,28.655,22.6474846626,24.331509434,27.232,20.4767567568,19.9822435897,20.9655,22.7885393258,19.8028244275,20.281557377,26.7822292994,19.4461946903,19.9822435897,28.40408,20.5067924528,20.1004411765,22.5099305556,24.5308125,29.2235185185,118.21,-1.61,99.43,1.46
7,1991,Aug,110.12,4.15,0.29,8.09147826087,11.6376190476,2.93237410072,49.96,5.92068965517,0.124267990074,3.54201834862,6.56787878788,4.78375,26.6325641026,32.945,16.571884058,30.19,10.8078431373,9.02982142857,1.87344827586,10.2579017857,10.6673287671,8.49027303754,8.89022058824,10.5558787879,5.06779220779,5.52444444444,3.79376623377,29.4233333333,11.0106015038,12.1330625,9.07312849162,24.62,10.7020930233,3.1075,14.9249056604,5.34255474453,6.406125,7.098,4.13444444444,5.28448087432,0.684257425743,5.75901554404,10.902516129,7.84899497487,1.8977486911,4.28984536082,16.0606153846,37.135,5.2725,24.7547311828,5.55,10.247254902,7.67636217949,7.455,2.032,4.62496062992,8.41769230769,11.008372093,4.21770700637,17.533,8.74978723404,1.56053435115,5.34255474453,8.49027303754,3.1075,4.21770700637,7.84899497487,3.54201834862,1.87344827586,5.55,6.406125,7.67636217949,11.5949350649,27.066091954,28.1284158416,27.5,27.5936875,23.2109455587,20.4374528302,21.7773913043,24.3477777778,27.8350364964,27.6783333333,26.12,27.15,23.622244898,23.8324087591,19.1360294118,24.7658441558,24.1935294118,26.2555414013,25.29,28.4972413793,21.3016949153,24.3422916667,19.0746875,27.975,21.0100729927,20.7919230769,26.0955479452,26.5,27.5743181818,19.3282743363,24.4541304348,21.2845081967,23.9956875,19.7095,23.306,22.6901775148,22.7779824561,21.0776973684,23.3750806452,27.64528,18.259893617,22.4962962963,26.5877419355,26.925,21.64625,25.8961176471,22.6683333333,25.4823931624,28.0763425926,28.975,22.3947852761,23.864245283,27.352,19.5067567568,17.7772435897,21.199125,22.9387640449,19.9823664122,21.2845081967,26.2555414013,19.3282743363,17.7772435897,27.64528,20.4374528302,19.1360294118,22.6683333333,23.9956875,28.0763425926,125.33,6.02,105.47,6.07
8,1991,Sep,108.85,-1.15,0.44,16.2227826087,8.70714285714,7.23467625899,39.975,3.55908045977,0.123449131514,4.58004587156,8.72121212121,11.13625,15.2583760684,36.3472222222,8.60710144928,36.852,5.66333333333,7.43077380952,1.77560344828,3.32723214286,2.76849315068,6.70266211604,6.71183823529,6.16812121212,8.01337662338,7.75377777778,6.14662337662,37.2333333333,5.4684962406,7.258125,5.87905027933,35.065,4.57248062016,2.96529661017,8.66389937107,2.93,6.840375,6.9332,10.5631481481,5.89213114754,0.563069306931,7.82170984456,3.66567741935,13.3851256281,3.7180104712,6.25592783505,25.2658461538,37.03,8.655,9.13569892473,5.01243055556,8.87882352941,8.95075320513,8.475,1.98157575758,8.23543307087,23.7523076923,8.40046511628,4.54280254777,5.16863157895,7.03489361702,4.32625954198,2.93,6.70266211604,2.96529661017,4.54280254777,13.3851256281,4.58004587156,1.77560344828,5.01243055556,6.840375,8.95075320513,8.86493506494,24.4473563218,23.3275247525,27.5,24.0764375,21.2040974212,15.7513679245,16.8365217391,20.5722222222,27.1415328467,27.59,23.1933035714,27.35,23.523877551,17.727080292,16.2078676471,19.3568831169,18.9837254902,21.1285350318,20.5891891892,26.8005747126,16.3159322034,20.4358333333,13.86328125,27.925,15.546350365,15.0973076923,20.8684246575,26.875,25.1376136364,14.527079646,20.7610144928,15.1763114754,18.0186875,14.3865,18.76,19.0010059172,19.1354385965,15.7493421053,18.235,23.27096,16.5899468085,17.5023703704,26.2409677419,27.11,17.19,22.4114117647,16.8027777778,21.2476068376,25.6055324074,28.85,18.1538650307,19.8818867925,26.888,14.1943243243,16.6332692308,15.3849375,18.2170786517,14.5236641221,15.1763114754,21.1285350318,14.527079646,16.6332692308,23.27096,15.7513679245,16.2078676471,16.8027777778,18.0186875,25.6055324074,135.37,8.01,106.21,0.7
9,1991,Oct,109.52,0.62,0.15,10.7111304348,23.7534920635,6.26345323741,28.37,0.333735632184,0.111687344913,1.12591743119,23.7787878788,16.88625,20.0151282051,36.9594444444,15.4429710145,33.816,9.54205882353,5.04357142857,3.84681034483,7.89709821429,7.50212328767,0.858498293515,11.8900735294,9.05096969697,19.8781818182,15.696,17.0194805195,30.8,10.0296240602,9.5313125,4.72195530726,41.8275,10.0017829457,3.82775423729,18.5550314465,4.38299270073,4.425625,21.846,18.3148148148,0.256174863388,0.0877227722772,18.583626943,11.2510322581,2.81658291457,6.69743455497,16.0476804124,14.9986153846,38.635,16.22125,14.8449462366,8.23486111111,12.4481372549,3.20830128205,17.765,0.589575757576,14.5437007874,9.03846153846,19.6862790698,12.400955414,12.3766315789,9.8020212766,2.88251908397,4.38299270073,0.858498293515,3.82775423729,12.400955414,2.81658291457,1.12591743119,3.84681034483,8.23486111111,4.425625,3.20830128205,0.430714285714,18.2628735632,18.0845544554,27.65,17.914875,16.3920630372,9.22721698113,12.0413043478,15.0211111111,23.9789781022,27.4416666667,18.1852678571,27.5,22.9430612245,11.2719708029,7.00595588235,13.5709090909,13.0520588235,15.1705095541,14.5398648649,20.5688505747,11.9481355932,14.855625,9.51,27.625,9.93,7.87198717949,15.2829452055,26.4,18.6336363636,6.05353982301,15.6463043478,7.00950819672,11.063375,10.22475,13.6911111111,14.0007100592,11.5110526316,11.3052631579,12.575483871,17.98816,9.39611702128,12.4417777778,25.964516129,26.84,12.36125,17.6315294118,8.56159722222,15.3761538462,20.966875,28.175,10.4230674847,14.3250943396,25.618,10.032972973,8.99474358974,9.142375,12.9665168539,6.53480916031,7.00950819672,15.1705095541,6.05353982301,8.99474358974,17.98816,9.22721698113,7.00595588235,8.56159722222,11.063375,20.966875,146.89,8.51,107.01,0.75
