,Year,State,Value,CV (%)
161,2012,Texas,95700000.0,
162,2012,Utah,5643000.0,
163,2012,Virginia,15360000.0,
164,2012,Washington,144125000.0,
165,2012,West Virginia,260000.0,
166,2012,Wisconsin,18375000.0,
167,2012,Wyoming,2990000.0,
168,2011,Alabama,13870000.0,
169,2011,Arizona,7622000.0,
170,2011,Arkansas,30160000.0,
171,2011,California,48530000.0,
172,2011,Colorado,77828000.0,
173,2011,Delaware,5175000.0,
174,2011,Florida,368000.0,
175,2011,Georgia,11200000.0,
176,2011,Idaho,117579000.0,
177,2011,Illinois,46970000.0,
178,2011,Indiana,25110000.0,
179,2011,Iowa,720000.0,
180,2011,Kansas,278250000.0,
181,2011,Kentucky,30800000.0,
182,2011,Louisiana,15120000.0,
183,2011,Maryland,12060000.0,
184,2011,Michigan,50625000.0,
185,2011,Minnesota,70176000.0,
186,2011,Mississippi,19840000.0,
187,2011,Missouri,34500000.0,
188,2011,Montana,174970000.0,
189,2011,Nebraska,66600000.0,
190,2011,Nevada,1323000.0,
191,2011,New Jersey,1519000.0,
192,2011,New Mexico,1890000.0,
193,2011,New York,5115000.0,
194,2011,North Carolina,40120000.0,
195,2011,North Dakota,199858000.0,
196,2011,Ohio,48450000.0,
197,2011,Oklahoma,73600000.0,
198,2011,Oregon,75355000.0,
199,2011,Pennsylvania,8670000.0,
200,2011,South Carolina,10800000.0,
201,2011,South Dakota,103859000.0,
202,2011,Tennessee,20740000.0,
203,2011,Texas,47500000.0,
204,2011,Utah,7120000.0,
205,2011,Virginia,17040000.0,
206,2011,Washington,165530000.0,
207,2011,West Virginia,354000.0,
208,2011,Wisconsin,21775000.0,
209,2011,Wyoming,4420000.0,
210,2010,Alabama,4400000.0,
211,2010,Arizona,7895000.0,
212,2010,Arkansas,7290000.0,
213,2010,California,36325000.0,
214,2010,Colorado,103350000.0,
215,2010,Delaware,2726000.0,
216,2010,Florida,287000.0,
217,2010,Georgia,4080000.0,
218,2010,Idaho,107842000.0,
219,2010,Illinois,15390000.0,
220,2010,Indiana,14100000.0,
221,2010,Iowa,460000.0,
222,2010,Kansas,360000000.0,
223,2010,Kentucky,12870000.0,
224,2010,Louisiana,5355000.0,
225,2010,Maryland,7800000.0,
226,2010,Michigan,34650000.0,
227,2010,Minnesota,87835000.0,
228,2010,Mississippi,4230000.0,
229,2010,Missouri,11960000.0,
230,2010,Montana,214180000.0,
231,2010,Nebraska,64070000.0,
232,2010,Nevada,616000.0,
233,2010,New Jersey,980000.0,
234,2010,New Mexico,8120000.0,
235,2010,New York,6365000.0,
236,2010,North Carolina,12540000.0,
237,2010,North Dakota,356600000.0,
238,2010,Ohio,42700000.0,
239,2010,Oklahoma,119350000.0,
240,2010,Oregon,61348000.0,
241,2010,Pennsylvania,7670000.0,
242,2010,South Carolina,4320000.0,
243,2010,South Dakota,122635000.0,
244,2010,Tennessee,8215000.0,
245,2010,Texas,123750000.0,
246,2010,Utah,6379000.0,
247,2010,Virginia,7650000.0,
248,2010,Washington,147540000.0,
249,2010,West Virginia,270000.0,
250,2010,Wisconsin,14720000.0,
251,2010,Wyoming,4160000.0,
252,2009,Alabama,8640000.0,
253,2009,Arizona,11825000.0,
254,2009,Arkansas,16500000.0,
255,2009,California,41300000.0,
256,2009,Colorado,101410000.0,
257,2009,Delaware,3843000.0,
258,2009,Florida,616000.0,
259,2009,Georgia,10290000.0,
260,2009,Idaho,100669000.0,
261,2009,Illinois,45920000.0,
262,2009,Indiana,30150000.0,
263,2009,Iowa,990000.0,
264,2009,Kansas,375900000.0,
265,2009,Kentucky,20805000.0,
266,2009,Louisiana,9520000.0,
267,2009,Maryland,10030000.0,
268,2009,Michigan,39440000.0,
269,2009,Minnesota,83725000.0,
270,2009,Mississippi,7500000.0,
271,2009,Missouri,33605000.0,
272,2009,Montana,175125000.0,
273,2009,Nebraska,77280000.0,
274,2009,Nevada,864000.0,
275,2009,New Jersey,1479000.0,
276,2009,New Mexico,3000000.0,
277,2009,New York,6500000.0,
278,2009,North Carolina,28175000.0,
279,2009,North Dakota,377190000.0,
280,2009,Ohio,67450000.0,
281,2009,Oklahoma,74800000.0,
282,2009,Oregon,51098000.0,
283,2009,Pennsylvania,8400000.0,
284,2009,South Carolina,7520000.0,
285,2009,South Dakota,129636000.0,
286,2009,Tennessee,16250000.0,
287,2009,Texas,61250000.0,
288,2009,Utah,7278000.0,
289,2009,Virginia,12760000.0,
290,2009,Washington,123765000.0,
291,2009,West Virginia,250000.0,
292,2009,Wisconsin,21420000.0,
293,2009,Wyoming,4750000.0,
294,2008,Alabama,14910000.0,
295,2008,Arizona,15172000.0,
296,2008,Arkansas,56000000.0,
297,2008,California,48825000.0,
298,2008,Colorado,61600000.0,
299,2008,Delaware,6083000.0,
300,2008,Florida,1242000.0,
301,2008,Georgia,22550000.0,
302,2008,Idaho,99670000.0,
303,2008,Illinois,73600000.0,
304,2008,Indiana,39330000.0,
305,2008,Iowa,1440000.0,
306,2008,Kansas,360000000.0,
307,2008,Kentucky,31240000.0,
308,2008,Louisiana,21945000.0,
309,2008,Maryland,13140000.0,
310,2008,Michigan,48280000.0,
311,2008,Minnesota,104440000.0,
312,2008,Mississippi,31000000.0,
313,2008,Missouri,57120000.0,
314,2008,Montana,164920000.0,
315,2008,Nebraska,73480000.0,
316,2008,Nevada,1108000.0,
317,2008,New Jersey,2257000.0,
318,2008,New Mexico,4340000.0,
319,2008,New York,8190000.0,
320,2008,North Carolina,44400000.0,
321,2008,North Dakota,307415000.0,
322,2008,Ohio,73030000.0,
323,2008,Oklahoma,170200000.0,
324,2008,Oregon,51030000.0,
325,2008,Pennsylvania,11840000.0,
326,2008,South Carolina,11610000.0,
327,2008,South Dakota,172540000.0,
328,2008,Tennessee,33390000.0,
329,2008,Texas,99000000.0,
330,2008,Utah,5756000.0,
331,2008,Virginia,20590000.0,
332,2008,Washington,121590000.0,
333,2008,West Virginia,480000.0,
334,2008,Wisconsin,23012000.0,
335,2008,Wyoming,4131000.0,
336,2007,Alabama,3192000.0,
337,2007,Arizona,8724000.0,
338,2007,Arkansas,28700000.0,
339,2007,California,29465000.0,
340,2007,Colorado,92980000.0,
341,2007,Delaware,3740000.0,
342,2007,Florida,495000.0,
343,2007,Georgia,9200000.0,
344,2007,Idaho,83645000.0,
345,2007,Illinois,48950000.0,
346,2007,Indiana,20720000.0,
347,2007,Iowa,1344000.0,
348,2007,Kansas,283800000.0,
349,2007,Kentucky,12000000.0,
350,2007,Louisiana,11880000.0,
351,2007,Maryland,10560000.0,
352,2007,Michigan,34450000.0,
353,2007,Minnesota,81900000.0,
354,2007,Mississippi,18480000.0,
355,2007,Missouri,37840000.0,
356,2007,Montana,149820000.0,
357,2007,Nebraska,84280000.0,
358,2007,Nevada,1290000.0,
359,2007,New Jersey,1428000.0,
360,2007,New Mexico,8400000.0,
361,2007,New York,4505000.0,
362,2007,North Carolina,20000000.0,
363,2007,North Dakota,298875000.0,
364,2007,Ohio,44530000.0,
365,2007,Oklahoma,98000000.0,
366,2007,Oregon,43680000.0,
367,2007,Pennsylvania,8990000.0,
368,2007,South Carolina,4050000.0,
369,2007,South Dakota,143515000.0,
370,2007,Tennessee,10660000.0,
371,2007,Texas,140600000.0,
372,2007,Utah,5656000.0,
373,2007,Virginia,13120000.0,
374,2007,Washington,125342000.0,
375,2007,West Virginia,342000.0,
376,2007,Wisconsin,18640000.0,
377,2007,Wyoming,3300000.0,
378,2006,Alabama,2565000.0,
379,2006,Arizona,7580000.0,
380,2006,Arkansas,18605000.0,
381,2006,California,20935000.0,
382,2006,Colorado,41515000.0,
383,2006,Delaware,3015000.0,
384,2006,Florida,210000.0,
385,2006,Georgia,5880000.0,
386,2006,Idaho,90315000.0,
387,2006,Illinois,60970000.0,
388,2006,Indiana,31280000.0,
389,2006,Iowa,1188000.0,
390,2006,Kansas,291200000.0,
391,2006,Kentucky,22720000.0,
392,2006,Louisiana,5565000.0,
393,2006,Maryland,8375000.0,
394,2006,Michigan,47450000.0,
395,2006,Minnesota,80340000.0,
396,2006,Mississippi,4307000.0,
397,2006,Missouri,49140000.0,
398,2006,Montana,153075000.0,
399,2006,Nebraska,61200000.0,
400,2006,Nevada,1056000.0,
401,2006,New Jersey,1320000.0,
402,2006,New Mexico,4080000.0,
403,2006,New York,5795000.0,
404,2006,North Carolina,24780000.0,
405,2006,North Dakota,251590000.0,
406,2006,Ohio,65280000.0,
407,2006,Oklahoma,81600000.0,
408,2006,Oregon,43190000.0,
409,2006,Pennsylvania,8850000.0,
410,2006,South Carolina,6150000.0,
411,2006,South Dakota,84090000.0,
412,2006,Tennessee,12160000.0,
413,2006,Texas,33600000.0,
414,2006,Utah,6120000.0,
415,2006,Virginia,10540000.0,
416,2006,Washington,138250000.0,
417,2006,West Virginia,366000.0,
418,2006,Wisconsin,18290000.0,
419,2006,Wyoming,3879000.0,
420,2005,Alabama,2250000.0,
421,2005,Arizona,8060000.0,
422,2005,Arkansas,8320000.0,
423,2005,California,28155000.0,
424,2005,Colorado,54035000.0,
425,2005,Delaware,3570000.0,
426,2005,Florida,360000.0,
427,2005,Georgia,7280000.0,
428,2005,Idaho,100590000.0,
429,2005,Illinois,36600000.0,
430,2005,Indiana,24480000.0,
431,2005,Iowa,750000.0,
432,2005,Kansas,380000000.0,
433,2005,Kentucky,20400000.0,
434,2005,Louisiana,4800000.0,
435,2005,Maryland,9240000.0,
436,2005,Michigan,38940000.0,
437,2005,Minnesota,71470000.0,
438,2005,Mississippi,3250000.0,
439,2005,Missouri,28620000.0,
440,2005,Montana,192480000.0,
441,2005,Nebraska,68640000.0,
442,2005,Nevada,805000.0,
443,2005,New Jersey,1219000.0,
444,2005,New Mexico,10260000.0,
445,2005,New York,5130000.0,
446,2005,North Carolina,24795000.0,
447,2005,North Dakota,303480000.0,
448,2005,Ohio,58930000.0,
449,2005,Oklahoma,128000000.0,
450,2005,Oregon,52645000.0,
451,2005,Pennsylvania,7830000.0,
452,2005,South Carolina,8415000.0,
453,2005,South Dakota,133420000.0,
454,2005,Tennessee,8400000.0,
455,2005,Texas,96000000.0,
456,2005,Utah,7099000.0,
457,2005,Virginia,10080000.0,
458,2005,Washington,139300000.0,
459,2005,West Virginia,300000.0,
460,2005,Wisconsin,10262000.0,
461,2005,Wyoming,4665000.0,
462,2004,Alabama,2880000.0,
463,2004,Arizona,9963000.0,
464,2004,Arkansas,32860000.0,
465,2004,California,36200000.0,
466,2004,Colorado,46880000.0,
467,2004,Delaware,2726000.0,
468,2004,Florida,675000.0,
469,2004,Georgia,8550000.0,
470,2004,Idaho,101710000.0,
471,2004,Illinois,53100000.0,
472,2004,Indiana,27280000.0,
473,2004,Iowa,1320000.0,
474,2004,Kansas,314500000.0,
475,2004,Kentucky,20520000.0,
476,2004,Louisiana,8250000.0,
477,2004,Maryland,8555000.0,
478,2004,Michigan,40960000.0,
479,2004,Minnesota,89605000.0,
480,2004,Mississippi,7155000.0,
481,2004,Missouri,48360000.0,
482,2004,Montana,173165000.0,
483,2004,Nebraska,61050000.0,
484,2004,Nevada,960000.0,
485,2004,New Jersey,1128000.0,
486,2004,New Mexico,8400000.0,
487,2004,New York,5300000.0,
488,2004,North Carolina,23000000.0,
489,2004,North Dakota,306425000.0,
490,2004,Ohio,55180000.0,
491,2004,Oklahoma,164500000.0,
492,2004,Oregon,54150000.0,
493,2004,Pennsylvania,6615000.0,
494,2004,South Carolina,7920000.0,
495,2004,South Dakota,128610000.0,
496,2004,Tennessee,13720000.0,
497,2004,Texas,108500000.0,
498,2004,Utah,5856000.0,
499,2004,Virginia,9900000.0,
500,2004,Washington,143500000.0,
501,2004,West Virginia,260000.0,
502,2004,Wisconsin,12852000.0,
503,2004,Wyoming,3750000.0,
504,2003,Alabama,3075000.0,
505,2003,Arizona,11912000.0,
506,2003,Arkansas,28500000.0,
507,2003,California,36510000.0,
508,2003,Colorado,78160000.0,
509,2003,Delaware,1927000.0,
510,2003,Florida,492000.0,
511,2003,Georgia,10580000.0,
512,2003,Idaho,84660000.0,
513,2003,Illinois,52650000.0,
514,2003,Indiana,29240000.0,
515,2003,Iowa,1281000.0,
516,2003,Kansas,480000000.0,
517,2003,Kentucky,21700000.0,
518,2003,Louisiana,5740000.0,
519,2003,Maryland,5365000.0,
520,2003,Michigan,44880000.0,
521,2003,Minnesota,105482000.0,
522,2003,Mississippi,6125000.0,
523,2003,Missouri,53070000.0,
524,2003,Montana,142330000.0,
525,2003,Nebraska,83720000.0,
526,2003,Nevada,549000.0,
527,2003,New Jersey,1092000.0,
528,2003,New Mexico,4480000.0,
529,2003,New York,6360000.0,
530,2003,North Carolina,14760000.0,
531,2003,North Dakota,316970000.0,
532,2003,Ohio,68000000.0,
533,2003,Oklahoma,179400000.0,
534,2003,Oregon,53540000.0,
535,2003,Pennsylvania,7095000.0,
536,2003,South Carolina,7215000.0,
537,2003,South Dakota,118391000.0,
538,2003,Tennessee,13500000.0,
539,2003,Texas,96600000.0,
540,2003,Utah,5677000.0,
541,2003,Virginia,7360000.0,
542,2003,Washington,139345000.0,
543,2003,West Virginia,287000.0,
544,2003,Wisconsin,12300000.0,
545,2003,Wyoming,4095000.0,
546,2002,Alabama,2400000.0,
547,2002,Arizona,9444000.0,
548,2002,Arkansas,38180000.0,
549,2002,California,31800000.0,
550,2002,Colorado,38100000.0,
551,2002,Delaware,3710000.0,
552,2002,Florida,245000.0,
553,2002,Georgia,7980000.0,
554,2002,Idaho,78410000.0,
555,2002,Illinois,30870000.0,
556,2002,Indiana,16430000.0,
557,2002,Iowa,848000.0,
558,2002,Kansas,270600000.0,
559,2002,Kentucky,17160000.0,
560,2002,Louisiana,8800000.0,
561,2002,Maryland,11220000.0,
562,2002,Michigan,29480000.0,
563,2002,Minnesota,62420000.0,
564,2002,Mississippi,7200000.0,
565,2002,Missouri,33440000.0,
566,2002,Montana,110735000.0,
567,2002,Nebraska,50160000.0,
568,2002,Nevada,408000.0,
569,2002,New Jersey,1824000.0,
570,2002,New Mexico,3900000.0,
571,2002,New York,6844000.0,
572,2002,North Carolina,18060000.0,
573,2002,North Dakota,216095000.0,
574,2002,Ohio,50220000.0,
575,2002,Oklahoma,103600000.0,
576,2002,Oregon,34500000.0,
577,2002,Pennsylvania,9805000.0,
578,2002,South Carolina,6290000.0,
579,2002,South Dakota,44247000.0,
580,2002,Tennessee,14100000.0,
581,2002,Texas,78300000.0,
582,2002,Utah,3590000.0,
583,2002,Virginia,10370000.0,
584,2002,Washington,129770000.0,
585,2002,West Virginia,336000.0,
586,2002,Wisconsin,11516000.0,
587,2002,Wyoming,2471000.0,
588,2001,Alabama,3360000.0,
589,2001,Arizona,8517000.0,
590,2001,Arkansas,50440000.0,
591,2001,California,35105000.0,
592,2001,Colorado,69168000.0,
593,2001,Delaware,3477000.0,
594,2001,Florida,369000.0,
595,2001,Georgia,10600000.0,
596,2001,Idaho,80770000.0,
597,2001,Illinois,43920000.0,
598,2001,Indiana,25080000.0,
599,2001,Iowa,972000.0,
600,2001,Kansas,328000000.0,
601,2001,Kentucky,23760000.0,
602,2001,Louisiana,8000000.0,
603,2001,Maryland,11025000.0,
604,2001,Michigan,32640000.0,
605,2001,Minnesota,79655000.0,
606,2001,Mississippi,11700000.0,
607,2001,Missouri,41040000.0,
608,2001,Montana,96570000.0,
609,2001,Nebraska,59200000.0,
610,2001,Nevada,270000.0,
611,2001,New Jersey,1215000.0,
612,2001,New Mexico,8160000.0,
613,2001,New York,6360000.0,
614,2001,North Carolina,17550000.0,
615,2001,North Dakota,292400000.0,
616,2001,Ohio,60300000.0,
617,2001,Oklahoma,122100000.0,
618,2001,Oregon,32650000.0,
619,2001,Pennsylvania,8320000.0,
620,2001,South Carolina,9030000.0,
621,2001,South Dakota,76766000.0,
622,2001,Tennessee,18360000.0,
623,2001,Texas,108800000.0,
624,2001,Utah,6034000.0,
625,2001,Virginia,10200000.0,
626,2001,Washington,131350000.0,
627,2001,West Virginia,464000.0,
628,2001,Wisconsin,10708000.0,
629,2001,Wyoming,3048000.0,
630,2000,Alabama,4860000.0,
631,2000,Arizona,8775000.0,
632,2000,Arkansas,59400000.0,
633,2000,California,37000000.0,
634,2000,Colorado,71370000.0,
635,2000,Delaware,4158000.0,
636,2000,Florida,441000.0,
637,2000,Georgia,10800000.0,
638,2000,Idaho,106650000.0,
639,2000,Illinois,52440000.0,
640,2000,Indiana,35190000.0,
641,2000,Iowa,846000.0,
642,2000,Kansas,347800000.0,
643,2000,Kentucky,23940000.0,
644,2000,Louisiana,9805000.0,
645,2000,Maryland,12600000.0,
646,2000,Michigan,36000000.0,
647,2000,Minnesota,96526000.0,
648,2000,Mississippi,12925000.0,
649,2000,Missouri,49400000.0,
650,2000,Montana,135210000.0,
651,2000,Nebraska,59400000.0,
652,2000,Nevada,1470000.0,
653,2000,New Jersey,1995000.0,
654,2000,New Mexico,4200000.0,
655,2000,New York,7420000.0,
656,2000,North Carolina,25000000.0,
657,2000,North Dakota,316985000.0,
658,2000,Ohio,79920000.0,
659,2000,Oklahoma,142800000.0,
660,2000,Oregon,53540000.0,
661,2000,Pennsylvania,10335000.0,
662,2000,South Carolina,9555000.0,
663,2000,South Dakota,114268000.0,
664,2000,Tennessee,20900000.0,
665,2000,Texas,66000000.0,
666,2000,Utah,6850000.0,
667,2000,Virginia,12915000.0,
668,2000,Washington,164880000.0,
669,2000,West Virginia,549000.0,
670,2000,Wisconsin,8730000.0,
671,2000,Wyoming,4312000.0,
672,1999,Alabama,4320000.0,
673,1999,Arizona,8325000.0,
674,1999,Arkansas,51520000.0,
675,1999,California,37785000.0,
676,1999,Colorado,107200000.0,
677,1999,Delaware,3990000.0,
678,1999,Florida,520000.0,
679,1999,Georgia,9675000.0,
680,1999,Idaho,104520000.0,
681,1999,Illinois,60600000.0,
682,1999,Indiana,33660000.0,
683,1999,Iowa,1333000.0,
684,1999,Kansas,432400000.0,
685,1999,Kentucky,24600000.0,
686,1999,Louisiana,4935000.0,
687,1999,Maryland,12000000.0,
688,1999,Michigan,37950000.0,
689,1999,Minnesota,79210000.0,
690,1999,Mississippi,8250000.0,
691,1999,Missouri,44160000.0,
692,1999,Montana,154310000.0,
693,1999,Nebraska,81600000.0,
694,1999,Nevada,1375000.0,
695,1999,New Jersey,1848000.0,
696,1999,New Mexico,10640000.0,
697,1999,New York,8125000.0,
698,1999,North Carolina,28420000.0,
699,1999,North Dakota,242280000.0,
700,1999,Ohio,72100000.0,
