,State,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,AK,1981,15.683362069,8.25706896552,8.70887931034,3.85327586207,4.91525862069,6.55017241379,10.535862069,15.4865517241,12.6512068966,12.8209482759,12.2261206897,7.48612068966
1,AK,1982,5.10034188034,3.61846153846,5.28162393162,5.84786324786,6.18717948718,5.81982905983,7.96435897436,6.75213675214,15.1522222222,11.7334188034,9.29786324786,9.89606837607
2,AK,1983,7.98465517241,6.57465517241,2.43224137931,7.11982758621,6.26293103448,4.08715517241,6.53887931034,13.8193103448,10.1714655172,13.3824137931,8.52517241379,3.35801724138
3,AK,1984,12.4320689655,8.80525862069,6.76775862069,5.16836206897,4.18775862069,6.10112068966,8.3225,10.346637931,8.66344827586,9.3725862069,7.26896551724,10.0931896552
4,AK,1985,15.2843478261,7.11965217391,8.6812173913,5.54808695652,5.93660869565,7.53713043478,5.37556521739,10.1984347826,13.9840869565,9.07791304348,4.65626086957,15.2667826087
5,AK,1986,12.3648717949,6.16264957265,6.59307692308,4.19042735043,4.49136752137,4.83136752137,7.46547008547,11.6897435897,8.02923076923,18.5068376068,10.2681196581,15.0187179487
6,AK,1987,13.02,7.32128205128,5.14051282051,5.97564102564,6.50341880342,10.0635042735,6.69401709402,5.08786324786,17.3022222222,17.9636752137,13.3308547009,10.894957265
7,AK,1988,7.21547008547,9.89401709402,9.81188034188,7.3235042735,6.32,6.07452991453,6.44564102564,11.8655555556,10.154017094,14.1967521368,10.1098290598,13.2726495726
8,AK,1989,8.60362068966,2.36956896552,2.48431034483,4.18586206897,7.21784482759,6.95051724138,6.05913793103,10.7005172414,14.2117241379,15.0893965517,10.7493965517,15.1186206897
9,AK,1990,9.54820512821,7.37487179487,7.92803418803,3.38555555556,3.87538461538,5.46085470085,7.5635042735,10.1941025641,18.8092307692,10.3047863248,6.21666666667,11.2748717949
10,AK,1991,7.7841025641,8.9794017094,6.74427350427,6.92051282051,7.11675213675,4.32666666667,8.70598290598,10.8388888889,16.4430769231,10.9782051282,11.3888888889,14.8692307692
11,AK,1992,12.3624137931,7.9675,9.44594827586,4.33913793103,6.52698275862,6.18629310345,7.51560344828,11.058362069,10.8156034483,11.0706896552,14.4620689655,9.07784482759
12,AK,1993,9.88775862069,9.06189655172,5.84862068966,4.47318965517,4.79155172414,4.21318965517,4.10215517241,11.2674137931,15.4106034483,12.8484482759,13.1856034483,13.0515517241
13,AK,1994,8.47060869565,3.78513043478,9.88252173913,5.58330434783,8.05695652174,6.28982608696,6.03643478261,5.96695652174,13.9899130435,13.7926086957,11.736173913,10.9873913043
14,AK,1995,7.12339130435,6.13756521739,5.7892173913,5.22060869565,7.54686956522,6.37904347826,8.65695652174,8.09147826087,16.2227826087,10.7111304348,6.08,7.90469565217
15,AK,1996,3.76745614035,10.5885087719,5.15561403509,4.92359649123,2.4250877193,6.85640350877,5.37640350877,10.6325438596,11.4935964912,9.65473684211,5.76412280702,5.47684210526
16,AK,1997,7.78745614035,10.8171929825,4.29289473684,5.32157894737,4.59131578947,4.76192982456,8.12973684211,12.1824561404,13.6852631579,9.35614035088,11.0942982456,14.8643859649
17,AK,1998,5.33175438596,6.23657894737,5.31122807018,8.61184210526,7.78350877193,6.60605263158,9.08622807018,13.8746491228,11.543245614,11.3857017544,6.26754385965,8.50745614035
18,AK,1999,9.03380530973,5.05911504425,7.48805309735,7.36530973451,6.63884955752,5.8714159292,7.13911504425,11.5769026549,15.8634513274,16.0152212389,9.39238938053,15.0515929204
19,AK,2000,10.0224561404,6.24263157895,8.91377192982,5.48745614035,4.31456140351,5.35789473684,9.18877192982,10.2740350877,12.9894736842,12.9900877193,12.6216666667,10.0484210526
20,AK,2001,16.7561403509,7.67087719298,8.15815789474,5.53956140351,6.99447368421,3.43429824561,10.2534210526,8.97684210526,11.8737719298,11.5310526316,6.69894736842,9.59754385965
21,AK,2002,10.5826315789,8.21289473684,3.26280701754,3.70824561404,4.33131578947,6.30947368421,6.72421052632,14.7343859649,13.0972807018,17.7352631579,15.1012280702,9.31236842105
22,AK,2003,7.91131578947,9.51938596491,4.8349122807,3.17552631579,5.37245614035,6.38684210526,7.81649122807,11.9546491228,10.8399122807,13.0993859649,9.50771929825,12.5440350877
23,AK,2004,7.15745614035,8.73307017544,6.82973684211,7.78149122807,4.77964912281,3.71605263158,5.87736842105,4.60605263158,14.3380701754,13.5753508772,13.5873684211,12.9487719298
24,AK,2005,8.40552631579,8.53640350877,8.64429824561,5.28368421053,5.05385964912,5.55649122807,10.0745614035,9.38228070175,16.4686842105,10.8078947368,12.9399122807,12.8304385965
25,AK,2006,5.51657894737,7.56105263158,3.73570175439,6.80929824561,5.26842105263,7.46964912281,6.55421052632,16.1680701754,13.3225438596,14.9336842105,3.53666666667,14.5207894737
26,AK,2007,10.1483333333,3.20421052632,5.73061403509,6.38859649123,5.59035087719,4.65894736842,8.46692982456,6.07587719298,13.605877193,12.8954385965,12.6109649123,7.72175438596
27,AK,2008,7.30157894737,8.86140350877,8.09061403509,6.76201754386,6.36377192982,6.15596491228,11.9140350877,8.01429824561,13.7469298246,14.7488596491,9.72394736842,6.72868421053
28,AK,2009,11.4085964912,5.15052631579,6.69447368421,3.53929824561,3.40377192982,5.34649122807,6.42587719298,12.4677192982,12.2012280702,10.2033333333,10.5588596491,8.44114035088
29,AK,2010,6.74912280702,7.16105263158,9.56789473684,5.53622807018,3.41885964912,7.55666666667,9.94149122807,8.46780701754,7.56333333333,13.8168421053,11.8173684211,5.16771929825
